% Position error,Rotation error (deg),Rotation rate error (deg/s),Velocity (m/s),Distance (m)
0.0676154000972,0.588830765582507,0,0,9.94581869514
0.0676577295594,0.23912787562969925,0.8331426442294987,0.0905517313213,9.90643097658
0.0673352428924,0.4183487038644672,0.13848958396952948,0.101353242323,9.85712648525
0.0673544271146,0.40137074027435443,0.07067521371499907,0.0941598622706,9.81019382046
0.067106661195,0.3745793230291855,0.28861694848904396,0.102332202744,9.75907764828
0.0670165923446,0.5612280222684999,0.25457582843753546,0.0984198148969,9.7099481459
0.0669896413549,0.48767187430526865,0.16182908112136563,0.0971618053945,9.66142203889
0.0669234432545,0.3985979097802371,0.3119666576434632,0.101175475663,9.61084089196
0.0668527522365,0.38920712772074084,0.26019929142784637,0.102269859055,9.55972310214
0.0667060736816,0.21291875028170307,0.019044939083435963,0.0998766747949,9.50981815318
0.0666331077135,0.4164523044714113,0.23811261424200314,0.0984250186789,9.46064232015
0.0664729265654,0.5782778652156493,0.052974757918293314,0.102512279048,9.40942333179
0.0664883753676,0.7703418220481504,0.40724104671215144,0.101228113689,9.35881096318
0.0662401772797,0.5691685076790267,0.29896364146803656,0.0991412375208,9.30928887717
0.0661496255384,0.6893301556398631,0.18151579359765346,0.102006376748,9.2582899787
0.0660684272182,0.4617193156567193,0.08958403649417157,0.101004909365,9.20781695687
0.0659356029932,0.6222171304316468,0.059318083570979674,0.0992572599249,9.1582114047
0.0657952659807,0.3634757121473916,0.2747648658401527,0.101702002595,9.1074101153
0.0656936940421,0.4595385055509498,0.10119895487197716,0.0991198998446,9.05785779265
0.0658877983764,0.3780784875742592,0.03838865102466915,0.0987478107532,9.00852410156
0.0656734570747,0.45702540086643983,0.10530827611592564,0.103037075738,8.95703500378
0.0656052007413,0.5517010903330196,0.031091704169475598,0.100465562286,8.90682089659
0.0654894024083,0.5172939908857573,0.0737299029548506,0.102019702393,8.85581993812
0.0654127594493,0.49616362740208186,0.014231104242054649,0.102975584868,8.80433565301
0.0654345469566,0.5553432614634501,0.04791414067119426,0.0985802430081,8.75510820874
0.0654309020874,0.34319732922221685,0.3776048335988733,0.102250454255,8.70398497114
0.0654058156325,0.49060971036873163,0.2735229415032334,0.101651137914,8.65315953785
0.0652863130057,0.5990233298134371,0.22190243440135493,0.100739454694,8.60279806448
0.0652989885983,0.6076883960732335,0.005290197314439027,0.10095675335,8.55232542581
